order_number,customer_id,product_id,order_date,units,sale_price,currency,order_mode,updated_at
1,212,5,02/03/2025,10,11.60,USD,NEW,2026-02-06 22:12:47
2,1940,10,06/24/2025,8,72.31,USD,NEW,2026-02-06 22:12:47
3,60,6,02/11/2025,4,24.82,INR,NEW,2026-02-06 22:12:47
4,2776,6,05/20/2025,4,20.91,USD,NEW,2026-02-06 22:12:47
5,409,9,07/05/2025,5,98.41,INR,NEW,2026-02-06 22:12:47
6,978,6,12/16/2025,1,6.90,USD,NEW,2026-02-06 22:12:47
7,2904,6,01/01/2026,1,71.56,EUR,NEW,2026-02-06 22:12:47
8,1269,3,08/11/2025,6,47.67,USD,NEW,2026-02-06 22:12:47
9,2628,5,01/16/2025,1,59.05,EUR,NEW,2026-02-06 22:12:47
10,1672,8,08/01/2025,3,43.42,USD,NEW,2026-02-06 22:12:47
11,2666,5,05/25/2025,5,43.98,EUR,NEW,2026-02-06 22:12:47
12,1521,9,02/21/2025,1,9.70,EUR,NEW,2026-02-06 22:12:47
13,2681,1,05/12/2025,3,7.69,CAD,NEW,2026-02-06 22:12:47
14,1485,3,07/21/2025,3,38.58,EUR,NEW,2026-02-06 22:12:47
15,2550,6,08/14/2025,4,5.51,CAD,NEW,2026-02-06 22:12:47
16,259,7,07/04/2025,1,71.70,USD,NEW,2026-02-06 22:12:47
17,1143,1,10/31/2025,5,0.32,EUR,NEW,2026-02-06 22:12:47
18,185,2,10/25/2025,3,98.92,USD,NEW,2026-02-06 22:12:47
19,1819,2,01/02/2026,2,52.88,CAD,NEW,2026-02-06 22:12:47
20,110,1,08/31/2025,7,39.11,INR,NEW,2026-02-06 22:12:47
21,1031,6,12/21/2025,8,15.68,CAD,NEW,2026-02-06 22:12:47
22,1936,5,08/30/2025,2,56.37,EUR,NEW,2026-02-06 22:12:47
23,584,10,04/15/2025,7,63.39,EUR,NEW,2026-02-06 22:12:47
24,934,7,03/06/2025,2,89.93,INR,NEW,2026-02-06 22:12:47
25,2917,10,03/02/2025,6,23.14,EUR,NEW,2026-02-06 22:12:47
26,311,8,07/12/2025,6,94.06,CAD,NEW,2026-02-06 22:12:47
27,866,10,10/10/2025,6,20.61,INR,NEW,2026-02-06 22:12:47
28,311,2,07/14/2025,7,9.21,EUR,NEW,2026-02-06 22:12:47
29,827,9,06/29/2025,8,50.45,CAD,NEW,2026-02-06 22:12:47
30,1946,8,05/07/2025,2,22.43,EUR,NEW,2026-02-06 22:12:47
31,129,5,12/18/2025,7,32.39,EUR,NEW,2026-02-06 22:12:47
32,1717,3,11/10/2025,5,21.64,USD,NEW,2026-02-06 22:12:47
33,35,1,03/13/2025,4,52.16,USD,NEW,2026-02-06 22:12:47
34,2766,5,11/18/2025,5,20.74,USD,NEW,2026-02-06 22:12:47
35,567,9,12/23/2025,3,68.33,EUR,NEW,2026-02-06 22:12:47
36,1341,4,09/26/2025,10,39.83,INR,NEW,2026-02-06 22:12:47
37,988,2,06/12/2025,2,8.03,CAD,NEW,2026-02-06 22:12:47
38,1913,6,07/12/2025,10,0.06,EUR,NEW,2026-02-06 22:12:47
39,2034,6,08/28/2025,8,86.06,CAD,NEW,2026-02-06 22:12:47
40,1751,3,09/15/2025,3,18.81,CAD,NEW,2026-02-06 22:12:47
41,1317,7,01/03/2026,10,41.28,CAD,NEW,2026-02-06 22:12:47
42,2013,4,09/04/2025,5,3.76,INR,NEW,2026-02-06 22:12:47
43,2265,9,04/15/2025,8,71.35,CAD,NEW,2026-02-06 22:12:47
44,1908,10,01/04/2026,5,40.22,USD,NEW,2026-02-06 22:12:47
45,1008,5,10/12/2025,6,55.83,CAD,NEW,2026-02-06 22:12:47
46,1573,10,01/05/2026,2,0.59,USD,NEW,2026-02-06 22:12:47
47,1194,1,04/13/2025,3,61.67,USD,NEW,2026-02-06 22:12:47
48,2020,5,03/16/2025,1,4.45,INR,NEW,2026-02-06 22:12:47
49,2873,5,04/18/2025,8,68.07,USD,NEW,2026-02-06 22:12:47
50,492,4,05/19/2025,2,89.69,INR,NEW,2026-02-06 22:12:47
51,987,7,08/05/2025,7,69.25,CAD,NEW,2026-02-06 22:12:47
52,1426,9,04/17/2025,7,21.35,CAD,NEW,2026-02-06 22:12:47
53,2871,8,04/10/2025,9,61.13,USD,NEW,2026-02-06 22:12:47
54,610,10,01/05/2025,6,77.14,EUR,NEW,2026-02-06 22:12:47
55,177,9,10/16/2025,9,88.70,INR,NEW,2026-02-06 22:12:47
56,2939,5,10/16/2025,6,40.71,INR,NEW,2026-02-06 22:12:47
57,1704,1,02/25/2025,7,89.08,EUR,NEW,2026-02-06 22:12:47
58,146,2,03/22/2025,3,37.22,USD,NEW,2026-02-06 22:12:47
59,1893,10,05/26/2025,1,16.87,USD,NEW,2026-02-06 22:12:47
60,1334,3,05/24/2025,7,32.16,EUR,NEW,2026-02-06 22:12:47
61,1817,5,09/12/2025,6,81.08,EUR,NEW,2026-02-06 22:12:47
62,1521,7,01/10/2025,4,99.42,EUR,NEW,2026-02-06 22:12:47
63,1719,4,05/29/2025,6,40.65,USD,NEW,2026-02-06 22:12:47
64,1339,3,01/03/2025,5,45.26,EUR,NEW,2026-02-06 22:12:47
65,2316,7,02/28/2025,6,32.23,USD,NEW,2026-02-06 22:12:47
66,1498,4,08/25/2025,9,93.04,CAD,NEW,2026-02-06 22:12:47
67,432,5,10/11/2025,10,29.75,EUR,NEW,2026-02-06 22:12:47
68,818,4,10/31/2025,3,36.80,INR,NEW,2026-02-06 22:12:47
69,1131,7,06/21/2025,7,45.89,CAD,NEW,2026-02-06 22:12:47
70,1675,2,04/26/2025,5,14.77,CAD,NEW,2026-02-06 22:12:47
71,2557,10,01/14/2025,2,1.44,EUR,NEW,2026-02-06 22:12:47
